idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
236.1	236	orthogroup	1	12	TNL	TNL	0	0	0	none
280.1	280	orthogroup	1	7	CNL	CN	0	0	0	none
224.1	224	orthogroup	1	16	TNL	TN	0	0	0	none
17.6	17	orthogroup	1	8	CNL	CN	0	0	0	complex
13.9	13	orthogroup	1	7	TNL	TN	0	6	0	complex
338	338	orthogroup	0	3	CNL	CNL	0	0	0	none
1.34	1	orthogroup	1	6	TNL	TNL	0	0	0	both
279.1	279	orthogroup	1	6	CNL	CNL	0	0	0	none
17.3	17	orthogroup	1	6	CNL	CN	0	0	0	complex
11.5	11	orthogroup	1	3	TNL	T	0	0	0	both
136	136	orthogroup	0	50	TNL	T	0	3	0	none
369	369	orthogroup	0	2	TNL	T	0	0	0	none
290.1	290	orthogroup	1	6	NL	NL	0	0	0	none
34.1	34	orthogroup	1	55	TNL	TN	0	0	0	none
12.4	12	orthogroup	1	9	CNL	CN	0	0	0	complex
18.4	18	orthogroup	1	12	TNL	TNL	10	0	0	complex
151.11	151	orthogroup	1	4	RNL	R	0	0	0	both
7.4	7	orthogroup	1	7	CNL	CNL	0	0	0	complex
407	407	orthogroup	0	2	TNL	T	0	1	0	none
31.1	31	orthogroup	1	56	RNL	RCNL	0	0	0	complex
4.11	4	orthogroup	1	4	TNL	TNL	0	0	0	both
185.1	185	orthogroup	1	30	TNL	T	0	0	0	none
43.1	43	orthogroup	1	9	NL	NLX	9	0	9	complex
344	344	orthogroup	0	2	CNL	CN	0	0	0	none
222.1	222	orthogroup	1	19	TNL	T	0	0	0	none
6.3	6	orthogroup	1	8	CNL	CN	0	0	0	both
273.1	273	orthogroup	1	8	CNL	CNL	0	0	0	none
184.6	184	orthogroup	1	9	TNL	TNL	0	0	0	both
1.28	1	orthogroup	1	8	TNL	TNL	0	0	0	both
52.1	52	orthogroup	1	58	TNL	T	0	0	0	none
307.1	307	orthogroup	1	4	TNL	T	0	0	0	none
395	395	orthogroup	0	2	TNL	T	0	0	0	none
12.2	12	orthogroup	1	12	CNL	CN	0	0	0	complex
3.2	3	orthogroup	1	12	CNL	CNL	0	0	0	both
42.3	42	orthogroup	1	6	TNL	TNL	0	0	0	complex
25.1	25	orthogroup	1	12	NL	NL	0	12	0	both
261.1	261	orthogroup	1	10	NL	N	0	0	0	none
270.1	270	orthogroup	1	6	CNL	CN	0	0	0	none
36.1	36	orthogroup	1	59	TNL	TNL	0	0	0	none
346	346	orthogroup	0	3	CNL	CN	0	0	0	none
17.2	17	orthogroup	1	7	CNL	CN	0	0	0	complex
21.5	21	orthogroup	1	7	TNL	TNL	7	0	0	complex
249.1	249	orthogroup	1	11	CNL	CNL	0	0	0	none
39.1	39	orthogroup	1	60	TNL	TNL	0	0	0	none
347	347	orthogroup	0	3	NL	NL	0	0	0	none
355	355	orthogroup	0	3	TNL	T	0	0	0	none
217.1	217	orthogroup	1	17	NL	N	0	0	0	none
41.3	41	orthogroup	1	5	NL	NLX	0	0	5	complex
312.1	312	orthogroup	1	5	NL	N	0	0	0	both
3.4	3	orthogroup	1	26	CNL	CNL	0	1	0	both
35.1	35	orthogroup	1	61	RNL	RN	0	0	0	none
181.3	181	orthogroup	1	13	TNL	TNL	0	0	0	complex
267.1	267	orthogroup	1	8	TNL	T	0	0	0	none
81.1	81	orthogroup	1	56	TNL	TNL	0	53	0	none
199.1	199	orthogroup	1	20	TNL	TX	0	0	20	none
2.8	2	orthogroup	1	10	RNL	R	0	0	0	both
262.1	262	orthogroup	1	5	TNL	T	0	0	0	both
45.3	45	orthogroup	1	28	TNL	T	0	0	0	complex
212.1	212	orthogroup	1	5	TNL	TN	0	0	0	both
65.1	65	orthogroup	1	58	CNL	CNL	0	0	0	none
214.1	214	orthogroup	1	10	TNL	TNL	0	0	0	none
327.1	327	orthogroup	1	3	TNL	T	0	0	0	none
181.4	181	orthogroup	1	7	TNL	TNL	0	0	0	complex
77.2	77	orthogroup	1	22	TNL	TNL	0	0	0	complex
165.8	165	orthogroup	1	6	TNL	TNL	0	0	0	complex
72.1	72	orthogroup	1	57	NL	N	0	0	0	none
13.5	13	orthogroup	1	5	TNL	TN	0	4	0	complex
165.6	165	orthogroup	1	4	TNL	TNL	0	0	0	complex
147.1	147	orthogroup	1	42	TNL	TN	0	33	0	none
7.9	7	orthogroup	1	5	CNL	CNL	0	0	0	complex
43.2	43	orthogroup	1	36	NL	NLX	34	0	35	complex
91.1	91	orthogroup	1	58	TNL	TNL	23	16	0	none
173.1	173	orthogroup	1	36	TNL	T	0	0	0	none
6.13	6	orthogroup	1	12	CNL	CN	0	0	0	both
63.1	63	orthogroup	1	57	TNL	TNL	0	0	0	none
15.2	15	orthogroup	1	4	NL	CN	0	0	0	both
100.1	100	orthogroup	1	56	TNL	TNL	0	0	0	none
292.1	292	orthogroup	1	5	CNL	CNL	0	0	0	none
235.1	235	orthogroup	1	15	TNL	T	0	0	0	none
4.37	4	orthogroup	1	5	TNL	TNL	0	0	0	both
77.3	77	orthogroup	1	29	TNL	TNL	0	0	0	complex
25.3	25	orthogroup	1	3	NL	NL	0	3	0	both
176.9	176	orthogroup	1	4	TNL	TNL	0	0	0	both
348	348	orthogroup	0	3	TNL	TNL	0	0	0	none
255.1	255	orthogroup	1	11	NL	NL	0	0	0	none
135.9	135	orthogroup	1	10	NL	N	0	0	0	both
103.1	103	orthogroup	1	56	NL	N	0	0	0	none
392	392	orthogroup	0	2	RNL	R	0	0	0	none
134.3	134	orthogroup	1	5	NL	CNL	0	0	0	both
293.1	293	orthogroup	1	6	TNL	TNL	0	0	0	none
381	381	orthogroup	0	2	NL	NL	0	0	0	none
154.1	154	orthogroup	1	42	TNL	TNX	0	0	42	none
16.12	16	orthogroup	1	5	TNL	TNL	0	0	0	both
4.13	4	orthogroup	1	6	TNL	TNL	0	0	0	both
3.11	3	orthogroup	1	4	CNL	CNL	0	0	0	both
2.11	2	orthogroup	1	6	RNL	R	0	0	0	both
11.29	11	orthogroup	1	5	TNL	T	0	0	0	both
380	380	orthogroup	0	2	TNL	T	0	0	0	none
300.1	300	orthogroup	1	4	CNL	CN	0	0	0	none
375	375	orthogroup	0	2	TNL	T	0	0	0	none
165.10	165	orthogroup	1	7	TNL	TNL	0	0	0	complex
211.1	211	orthogroup	1	20	TNL	TNL	0	0	0	none
212.4	212	orthogroup	1	4	TNL	TN	0	0	0	both
256.1	256	orthogroup	1	11	TNL	T	0	2	0	none
302.1	302	orthogroup	1	5	TNL	TNL	0	0	0	none
122.3	122	orthogroup	1	21	TNL	T	0	0	0	complex
169.1	169	orthogroup	1	36	TNL	TX	0	0	36	none
59.1	59	orthogroup	1	61	RNL	RN	0	0	0	none
382	382	orthogroup	0	2	NL	NL	0	0	0	none
345	345	orthogroup	0	3	TNL	T	0	0	0	none
157.1	157	orthogroup	1	40	TNL	TN	0	0	0	none
15.7	15	orthogroup	1	8	CNL	CN	0	0	0	both
284.1	284	orthogroup	1	6	TNL	TN	0	0	0	none
215.1	215	orthogroup	1	21	TNL	TN	0	0	0	none
171.1	171	orthogroup	1	36	TNL	TNL	0	19	0	none
243.1	243	orthogroup	1	14	TNL	TN	0	13	0	none
1.22	1	orthogroup	1	5	TNL	TNL	0	0	0	both
7.3	7	orthogroup	1	6	CNL	CNL	0	0	0	complex
